T04n0192_p0001a01_##<mj>
T04n0192_p0001a02N##No. 192
T04n0192_p0001a03J##[01]佛所行讚卷第一[02](亦云佛本行經)
T04n0192_p0001a04_##
T04n0192_p0001a05A##[03]馬鳴菩薩[04]造
T04n0192_p0001a06Y##北涼天竺三藏曇無讖譯
T04n0192_p0001a07D##[05]生品第一
T04n0192_p0001a08S##　甘蔗之苗裔，　　釋迦無勝王，
T04n0212_p0609c14_##二日僧叡造首。
T04n0212_p0609c15_##
T04n0212_p0609c16_##
T04n0212_p0609c17J##[26]出曜經卷第一
T04n0212_p0609c18_##
T04n0212_p0609c19Y##[27]姚秦[28]涼州沙門竺佛念譯
T04n0212_p0609c20D##無常品第一[29]之一
T04n0212_p0609c21P##昔佛在波羅[木*奈]國。佛告諸比丘：「當來之世，眾
T04n0212_p0609c22_##生之類壽八萬四千歲。爾時壽八萬四千歲
T04n0212_p0609c23_##眾生輩，於此閻浮[30]利內，眾生共居一處，穀米
T04n0212_p0609c24_##豐熟人民熾盛，[奚*鳥]狗鳴喚共相聞聲。」佛告比
T04n0212_p0609c25_##丘：「汝等當知，爾時人民，女年五百歲，便外適
T04n0212_p0609c26_##娶。爾時有王，名曰蠰佉，七寶導從，以法治化無
T04n0212_p0609c27_##有阿曲。有自然羽寶之車，高千肘廣十六肘，
T04n0212_p0609c28_##[豎-豆+立]立修治眾寶瓔珞，在大眾中，分檀布施無
T04n0212_p0609c29_##[怡-台+吝]悔心，造立功德為眾導首，與諸沙門婆羅
T04n0212_p0610a01_##門諸得道者，遠行住止經過居宿皆悉給施，
T04n0212_p0610a02_##有所求索無所[怡-台+吝]惜。爾時眾生壽八萬四千歲，
T04n0212_p0610a03_##有如來出世，名曰彌勒，至真、等正覺、明行成
T04n0212_p0610a04_##為、善逝、世間解、無上士、道法御、天人師，號佛、世
T04n0212_p0610a05_##尊；如我今日，成無上[01]正真等正覺，十號具
T04n0212_p0610a06_##足。常當將護無數百千諸比丘僧；如我今日，
T04n0212_p0610a07_##將護無數百千諸比丘僧。與諸大眾，廣說深
T04n0212_p0610a08_##法上中下善，義味微妙，具足清淨修於梵行；
T04n0212_p0610a09_##如我今日，與諸大眾廣說深法上中下善，義
T04n0212_p0610a10_##味微妙，具足清淨修於梵行。廣說如彌勒下
T04n0212_p0610a11_##生。如佛所說，有經名曰六更樂道，若有眾生
T04n0212_p0610a12_##生其中者，若眼見色，盡見善色不見惡色，見
T04n0212_p0610a13_##愛不見非愛，見可敬不見非可敬，見可念不
T04n0212_p0610a14_##見非可念，見美色不見非美色。諸有眾生耳
T04n0212_p0610a15_##聞聲者，鼻嗅香、舌知味、身知細滑、意知法，乃
T04n0212_p0610a16_##至天帝亦復如是。」<p>爾時世尊遊毘舍離獼猴
T04n0212_p0610a17_##池水大講堂上，爾時眾多毘舍離諸童子等，
T04n0212_p0610a18_##各生此念：「我等宜可共相率合至世尊所問
T04n0212_p0610a19_##訊禮覲。」其中童子，或有乘載青馬青蓋被服
T04n0212_p0610a20_##皆青，或有乘載青黃赤白，被服皆白，搥鐘鳴
T04n0212_p0610a21_##鼓作倡伎樂，前後導從至世尊所。爾時世尊
T04n0212_p0610a22_##告諸比丘：「汝等當知，若有不見諸天遊觀至
T04n0212_p0610a23_##後園浴池者，今當觀此諸童子等，所著法服
T04n0212_p0610a24_##乘載輿輦，與彼諸天亦無差別。所以然者，諸
T04n0212_p0610a25_##天被服與此無異。」<p>爾時座上數百千眾生之
T04n0212_p0610a26_##類，各作是念：「我等宜可發真誠誓，使我等後
T04n0212_p0610a27_##生生天上人中，恒著此法服永已不離，使當
T04n0212_p0610a28_##來世有佛興出，聞[02]甚深法，永離苦惱入泥洹
T04n0212_p0610a29_##界。」如來[03]以知眾生心念，求生三有不離苦惱，
T04n0212_p0610b01_##便與大眾而說此偈：
T04n0212_p0610b02S##「所行非常，　　為磨滅法，　　不可恃怙，
T04n0212_p0610b03s##　變易不住。」
T04n0212_p0610b04P##爾時眾生聞此一句偈，不可稱計百千眾生，
T04n0212_p0610b05_##於現法中漏盡意解，皆得道果。
T04n0212_p0610b06P##昔有婆羅門四人皆得神通，身能飛行神足無
T04n0212_p0610b07_##礙。此四梵志自相謂言：「其有人民以餚饌食，
T04n0212_p0610b08_##施瞿曇沙門者，便得生天不離福堂，有聞法
T04n0212_p0610b09_##者入解脫門，我等今日意貪天福，不願解脫
T04n0212_p0610b10_##不須聞法。」是時，四人各執四枚甘美石蜜，一
T04n0212_p0610b11_##人先至如來所，奉上世尊。如來受已，告彼梵
T04n0212_p0610b12_##志而說此偈，所行非常；梵志聞已以手掩耳。
T04n0212_p0610b13_##次第二人至如來所，貢上石蜜。如來復說此
T04n0212_p0610b14_##偈，謂興衰法；梵志聞已以手掩耳。次第三人
T04n0212_p0610b15_##至如來所，貢上石蜜。如來受已，復說此偈，夫
T04n0212_p0610b16_##生輒死；梵志聞已以手掩耳。次第四人至如
T04n0212_p0610b17_##來所，貢上石蜜；如來受已，復說此偈，此滅為
T04n0212_p0610b18_##樂；梵志聞已以手掩耳，各捨之去。<p>如來觀彼
T04n0212_p0610b19_##心意念，知應得度，便以權便隱形不現，四人
T04n0212_p0610b20_##各聚一處自相謂言：「我等雖施瞿曇沙門，意
T04n0212_p0610b21_##不決了，瞿曇沙門有何言教？」先問前者：「奉上
T04n0212_p0610b22_##石蜜得何言教？亦不聞法乎？」對曰：「我從如來
T04n0212_p0610b23_##聞一句義，所行非常；聞此義已即以手掩耳亦
T04n0212_p0610b24_##不承受。」次問第二人：「至如來所得何言教？」其
T04n0212_p0610b25_##人復自陳說：「吾至如來所貢上石蜜，如來與
T04n0212_p0610b26_##我而說此偈，謂興衰法；吾聞此已以手掩耳
T04n0212_p0610b27_##亦不承受。」次問第三人：「汝至如來所得何言
T04n0212_p0610b28_##教？」其人復自陳說：「至如來所貢上石蜜，如來
T04n0212_p0610b29_##與我而說此偈，夫生輒死；吾聞此已以手掩
T04n0212_p0610c01_##耳亦不承受。」次問第四人：「汝至如來所得何
T04n0212_p0610c02_##言教？」其人對曰：「至如來所貢上石蜜，如來與
T04n0212_p0610c03_##我而說此偈，此滅為樂。」四人說此偈已心開
T04n0212_p0610c04_##意解，得[訶>阿]那含道。<p>爾時四人自知各得道證，
T04n0212_p0610c05_##還自懇責，至如來所，頭面禮足在一面立，須
T04n0212_p0610c06_##臾退坐白世尊曰：「唯願如來！聽在道次得為
T04n0212_p0610c07_##沙門。」世尊告曰：「善來比丘！快修梵行。」爾時四
T04n0212_p0610c08_##人頭髮自墮，身所衣服變為袈裟，尋於佛前
T04n0212_p0610c09_##得羅漢道。<p>佛臨欲般泥洹時，告大迦葉及阿
T04n0212_p0610c10_##那律：「汝等比丘當承受我教、敬事佛語，汝等
T04n0212_p0610c11_##二人莫取滅度，先集契經、戒律、阿毘曇及寶
T04n0212_p0610c12_##雜藏，然後當取滅度，廣說乃至供養舍利。」盡
T04n0212_p0610c13_##耶旬竟，便共普會集此諸經，五百羅漢皆得
T04n0212_p0610c14_##此解脫，捷疾利根眾德備具普集一處，便與
T04n0212_p0610c15_##阿難敷師子高座，勸請阿難使昇高座。已
T04n0212_p0610c16_##昇高座便問阿難：「如來最初何處說法？」時阿
T04n0212_p0610c17_##難便說：「聞如是一時。」說此語已，時五百羅漢
T04n0212_p0610c18_##皆從繩床上起，在地長跪：「我等躬自見如來
T04n0212_p0610c19_##說法，今日乃稱聞如是一時。」普皆舉聲相對
T04n0212_p0610c20_##悲泣。時，大迦葉即告阿難曰：「從今日始出
T04n0212_p0610c21_##法深藏，皆稱聞如是，勿言見也。」「佛在波羅[木*奈]
T04n0212_p0610c22_##仙人鹿野苑中，爾時世尊告五比丘：『此苦原
T04n0212_p0610c23_##本，本所未聞、本所未見，廣說如經本。』」是時，眾
T04n0212_p0610c24_##人已集契經。是時，尊者迦葉復問阿難：「如來
T04n0212_p0610c25_##最初何處說戒律？」時阿難報大迦葉：「吾從佛
T04n0212_p0610c26_##聞如是。一時佛在羅閱城[伽>迦]蘭陀竹園，時迦
T04n0212_p0610c27_##蘭陀子名曰須陳那，出家學道在比丘境，最
T04n0212_p0610c28_##初犯律，至不度法，廣說如戒律。」是時，迦葉復
T04n0212_p0610c29_##問阿難：「如來最初何處說阿毘曇？」
T04n0212_p0611a01P##阿難曰：「吾從佛聞如是。一時佛在毘舍離獼
T04n0212_p0611a02_##猴池側普集講堂所。爾時世尊見拔耆子因
T04n0212_p0611a03_##緣本末，告諸比丘：『諸無五畏恚恨之心者，便
T04n0212_p0611a04_##不墮惡趣，亦復不生入地獄中，[01]廣說如阿
T04n0212_p0611a05_##毘曇。』」初夜集阿毘曇竟，後夜便說出曜，而[02]說
T04n0212_p0611a06_##此偈：「睡眠覺寤，何以故說，睡眠覺寤？如世尊
T04n0212_p0611a07_##等，正覺所說：『夫睡眠者，損命愚惑，有所傷壞，
T04n0212_p0611a08_##不成果證，沒命無救，不至明處。所以然者，如
T04n0212_p0611a09_##人覺[03]寤，便能修德，造立善本，[身*冘]著睡眠，便
T04n0212_p0611a10_##失此法，故謂愚惑。』」<p>時座中復有說者：「如佛所
T04n0212_p0611a11_##言：『若有眾生，覺寤之中，所念眾事，於睡眠中，
T04n0212_p0611a12_##[04]澹然無想。』世尊告諸比丘：『寧睡不覺，此云何
T04n0212_p0611a13_##通？』是故佛說除去睡眠常念覺寤，如佛說偈，
T04n0212_p0611a14_##睡眠覺寤，宜歡喜思，言歡者內心踊躍，喜怡
T04n0212_p0611a15_##歡樂善心生焉，是故稱說宜歡喜思。聽我所
T04n0212_p0611a16_##說者，專意一心無有亂想，意定無誤堪任承
T04n0212_p0611a17_##受，是以故說聽我所說撰記出曜。言出曜者，
T04n0212_p0611a18_##過去恒沙諸佛世尊，皆共讚歎出曜法義，如
T04n0212_p0611a19_##來世尊亦名最勝。云何為最勝？勝諸結使不
T04n0212_p0611a20_##善之法，勝婬怒癡，勝一切生死結縛，勝外道
T04n0212_p0611a21_##異學尼乾子等九十六種術，於中特出，故曰
T04n0212_p0611a22_##最勝。演說暢達無有留滯，布現演吐為諸天
T04n0212_p0611a23_##人，義味成就，是故說撰記出曜。如世尊所說，
T04n0212_p0611a24_##演說暢達無有留滯，[05]如世尊說一切通達，仙
T04n0212_p0611a25_##人慈哀一身無餘，如世尊所說者，暢達演說
T04n0212_p0611a26_##言無留滯，故曰世尊說也。一切通達者，一切
T04n0212_p0611a27_##智達、一切示現、一切通了、分別一切義。遊六
T04n0212_p0611a28_##神通成無上道，如來六通亦非羅漢所能及
T04n0212_p0611a29_##逮，佛為諸度最勝最上，於諸法相悉能分別，
T04n0212_p0611b01_##故曰一切通達也。仙人慈哀者，一切充滿生
T04n0212_p0611b02_##死[06]悕望如父母之想，擁護心慈哀之意，諸佛
T04n0212_p0611b03_##世尊亦言仙人，修神足道亦名仙人，眾德具
T04n0212_p0611b04_##足亦名仙人，長夜修善亦名仙人，是以故說
T04n0212_p0611b05_##仙人慈哀也。一身無餘者，所謂身者，依四大
T04n0212_p0611b06_##根本更無復有，亦無邊際，亦無出生，如佛存
T04n0212_p0611b07_##在躬自演說。阿難！當知末後境界，末後無胎
T04n0212_p0611b08_##末後所受形分如我。阿難！更不復見天地方
T04n0212_p0611b09_##域，更受此身，此是苦[07]邊，故曰一身無餘也。」
T04n0212_p0611b10S##　所行非常，　　謂興衰法，　　夫生[08]輒死，
T04n0212_p0611b11s##　此滅為樂。
T04n0212_p0611b12P##昔諸梵志各誦師法，分為二[09]部，所見萬物
T04n0212_p0611b13_##皆有，一部自稱萬物皆無。諸言有者，如來分
T04n0212_p0611b14_##別除去猶豫斷其悕望，便與演說所行非常。
T04n0212_p0611b15_##諸言有者，自有讚[10]誦：
T04n0212_p0611b16S##「以利輪劍，　　殺害眾生，　　恒知惠施，
T04n0212_p0611b17S##　無有善惡：　　亡形不變，　　身體中間，
T04n0212_p0611b18S##　利劍來往，　　不傷其命：　　地大恒在，
T04n0212_p0611b19S##　風界無著，　　[11]火受苦樂，　　命根亦爾：
T04n0212_p0611b20S##　正使利劍，　　通達來往，　　亦不見有，
T04n0212_p0611b21S##　善惡之報：　　設害父母，　　無善惡報，
T04n0212_p0611b22s##　況當餘者，　　而有其果？」
T04n0212_p0611b23P##猶如以瓶盛雀，有人打瓶，雀便飛逝；傷害眾
T04n0212_p0611b24_##生，命自遠逝，無所傷損。如來世尊，欲去彼邪
T04n0212_p0611b25_##見眾生，故曰所行非常不可恃怙，遷轉不住
T04n0212_p0611b26_##為磨滅法，命如朝露暫有便滅，故曰所行非
T04n0212_p0611b27_##常。<p>一部自稱萬物無者，共相慶賀成我等義。
T04n0212_p0611b28_##如來觀彼心中所念而告之曰：「謂興衰法，夫
T04n0212_p0611b29_##興衰者，夫盛有衰，合會有離，無身則已，受身
T04n0212_p0611c01_##有何可避？」梵志復作是念：「設衰耗法更不生
T04n0212_p0611c02_##者，則成我義。」是故世尊重與說義：「夫生輒死，
T04n0212_p0611c03_##輪轉不住，諸受陰持共相受入，慧眼觀察乃
T04n0212_p0611c04_##能分別，猶如日光塵數流馳難可稱計。」此五
T04n0212_p0611c05_##盛陰身，眾行所逼流轉生[12]死，無有懈息，故曰
T04n0212_p0611c06_##夫生輒死。此滅為樂者，所謂永盡無餘，無欲
T04n0212_p0611c07_##著意，常息安寧最第一樂，無生滅想成第一
T04n0212_p0611c08_##義，無欲樂、無為樂、無漏樂、盡樂、滅樂，故曰此
T04n0212_p0611c09_##滅為樂。
T04n0212_p0611c10S##　何[喜/心]何笑，　　念常熾然，　　深蔽幽冥，
T04n0212_p0611c11s##　[13]而不求錠？
T04n0212_p0611c12P##昔佛在舍衛國祇樹給孤獨園。食後日晡，有
T04n0212_p0611c13_##眾比丘及天帝臣民四輩弟子，欲聽如來說
T04n0212_p0611c14_##甘露法。有異方道士異學婆羅門七人，頭[14]鬚
T04n0212_p0611c15_##[15][日*告]白拄杖呻吟來至佛所，稽首作禮叉手白
T04n0212_p0611c16_##佛言：「吾等遠人伏承聖化，久應歸命道術有
T04n0212_p0611c17_##簡，今乃得來覲[者*見]聖[16]顏，願為弟子得滅眾
T04n0212_p0611c18_##苦。」佛即聽受，悉為沙門，[束*力]七比丘共止一房。
T04n0212_p0611c19_##然此七人[者*見]見世尊，尋得為道，不計無常變
T04n0212_p0611c20_##易之法，共坐房中思惟世事，小語大笑不念
T04n0212_p0611c21_##成敗，命日促盡不與人期，但共戲笑恣意放
T04n0212_p0611c22_##逸不念無常。爾時世尊起至房中，而告之曰：
T04n0212_p0611c23_##「卿等為道，當求度世無為之道，何為大笑？一
T04n0212_p0611c24_##切眾生自憑五事。何謂為五？一者恃怙年少，
T04n0212_p0611c25_##二者恃怙端正，三者恃怙力勢，四者恃怙才
T04n0212_p0611c26_##器，五者恃怙貴族。卿等七人小語大笑，恃怙
T04n0212_p0611c27_##何等？」於是世尊即說頌曰：
T04n0212_p0611c28S##「何喜何笑，　　念常熾然，　　深蔽幽冥，
T04n0212_p0611c29s##　[＊]而不求錠？」
T04n0212_p0612a01P##何喜何笑者？爾時世尊告七人曰：「汝等七人
T04n0212_p0612a02_##[01]來在道境，亦復不在須陀洹、斯陀[02]含、阿那
T04n0212_p0612a03_##[＊]含、阿羅漢。」復告比丘：「我先有教，未能盡漏不
T04n0212_p0612a04_##可有所恃怙，汝等受形未脫結縛，蛇蚖共居
T04n0212_p0612a05_##成五盛陰，云何於中小語大笑？當念此苦永
T04n0212_p0612a06_##劫不除，方興戲笑以成塵垢，苦哉難悟，卿等
T04n0212_p0612a07_##是也。」故曰，何喜何笑，是世尊教[束*力]之言。念
T04n0212_p0612a08_##常熾然者，云何為熾然？以無常火而為熾然，
T04n0212_p0612a09_##亦以苦火而為熾然，愁憂苦惱而為熾然。又
T04n0212_p0612a10_##以何等而見熾然？愛欲瞋恚愚癡憍慢，嫉[女*石]
T04n0212_p0612a11_##恚[03]疑所見熾然，故曰念常熾然。深蔽幽冥
T04n0212_p0612a12_##者，猶人夜行不[者*見]顏色，生盲無目不見玄黃，
T04n0212_p0612a13_##如此幽冥蓋不足言。所謂大幽冥者，無明纏
T04n0212_p0612a14_##絡遍人形體無空缺處，是謂大冥覆蔽眾生，
T04n0212_p0612a15_##不別善惡趣要之本，不別白黑縛解之要道
T04n0212_p0612a16_##俗之法，亦復不知善趣惡趣出要滅盡，故曰
T04n0212_p0612a17_##深蔽幽冥。[＊]而不求錠者，云何為錠？所謂智
T04n0212_p0612a18_##慧之[04]錠，以智慧錠為照何等？答曰：知結所
T04n0212_p0612a19_##興以道滅之，分別善趣惡趣出要之本，能別
T04n0212_p0612a20_##白黑縛解之要道俗之法，善能分別善趣惡
T04n0212_p0612a21_##趣出要滅盡，普曜諸法無不明照，而更捨之
T04n0212_p0612a22_##乃趣冥道故，曰[＊]而不求錠。
T04n0212_p0612a23S##　諸有形器，　　散在諸方，　　骨色如鴿，
T04n0212_p0612a24s##　斯有何樂？
T04n0212_p0612a25P##昔佛在舍衛國祇樹給孤獨園。爾時有異比
T04n0212_p0612a26_##丘，日至城外曠野[土*(蒙-卄)]間，路由他田乃得達過，
T04n0212_p0612a27_##其主見已便興瞋恚：「此何道士日此往來不
T04n0212_p0612a28_##修道德？」即問道人：「汝何乞士，在吾田中縱橫
T04n0212_p0612a29_##往來，乃成人蹤？」道人[05]對曰：「吾有[鬥@(豆*寸)]訟來求
T04n0212_p0612b01_##證人。」時彼田主宿緣[金*勾]連應蒙得度，便逐道
T04n0212_p0612b02_##人私匿從行，見曠[土*(蒙-卄)]間屍骸狼籍[月*逢]脹臭爛，
T04n0212_p0612b03_##鳥[06]狩食噉散落異處，或有食噉盡不盡者，有
T04n0212_p0612b04_##似[07]炙鴿蛆蟲[08][口*(一/巾)][口*束]臭穢難近，烏鵲狐狗老
T04n0212_p0612b05_##鷲[至*鳥]鵂噉死人屍。比丘舉手語彼人曰：「此諸
T04n0212_p0612b06_##鳥獸是我證人。」其人問曰：「此諸鳥獸可為證
T04n0212_p0612b07_##人，汝今比丘與誰共諍？」比丘報曰：「心之為病
T04n0212_p0612b08_##多諸漏患，我觀此骸分別惡露，便還房室還
T04n0212_p0612b09_##自觀身，從頭至足與彼無異，然此心意流馳
T04n0212_p0612b10_##萬端，追逐幻偽色聲香味細滑之法。我今欲
T04n0212_p0612b11_##[09]誡心之[＊]原本，汝心當知，興起是念，無令將
T04n0212_p0612b12_##吾入地獄餓鬼之中。我今凡夫未脫諸縛，然
T04n0212_p0612b13_##此心賊不見從命，以是之故日[10]住曠野，為說
T04n0212_p0612b14_##惡露不淨之想，復與心說，心為卒暴亂錯不
T04n0212_p0612b15_##定，心今當改無造惡緣。」時彼田主聞道人教，
T04n0212_p0612b16_##以手[11]揮淚哽咽[12]歎言。然彼田主於迦葉佛
T04n0212_p0612b17_##十千歲中，修不淨想，尋時分別三十六物惡
T04n0212_p0612b18_##露不淨。爾時比丘及彼田主，即[13]往曠野大畏
T04n0212_p0612b19_##[土*(蒙-卄)]間，得須陀洹道。
T04n0212_p0612b20P##爾時世尊天眼清淨無瑕穢，觀見二人成其
T04n0212_p0612b21_##果證，因宿本緣，亦欲示現後學之徒，使將來
T04n0212_p0612b22_##世現其大明，正法久存無能中滅，便自稱慶
T04n0212_p0612b23_##而說此偈。諸有形器[14]者，或有手[腳-谷+去]臂肘腰臗
T04n0212_p0612b24_##[15]髀膊、膝踝足跟髑髏[16]支節，各在異處，是故
T04n0212_p0612b25_##說曰諸有形器。散在諸方者，猶木無識，本所
T04n0212_p0612b26_##愛樂不去心懷，莊嚴文飾香花脂粉芬熏其
T04n0212_p0612b27_##身，今皆散落，各在異處。骨色如鴿者，本所
T04n0212_p0612b28_##眾生億百千數，而見愛念觀無厭足，如今億
T04n0212_p0612b29_##百千眾所見薄賤，[者*見]皆怖[17]懅身毛為[豎-豆+立]，是
T04n0212_p0612c01_##故說曰骨色如鴿。斯[18]謂何樂者，世言有樂則
T04n0212_p0612c02_##是凡夫愚惑之人，智者所棄，愚人所樂，智者
T04n0212_p0612c03_##懷愧但有醜陋，愚者翫習甘樂不捨，藏匿懷
T04n0212_p0612c04_##抱。
T04n0212_p0612c05S##　若如初夜，　　識降母胎，　　日涉遷變，
T04n0212_p0612c06s##　逝而不還。
T04n0212_p0612c07P##如佛世尊敷演言教有三有為，有為之相興
T04n0212_p0612c08_##衰變易。問曰[19]：「故當萬物恒有常者，死屍骸
T04n0212_p0612c09_##骨不久存乎？百二十時謂之一日一夜，若當
T04n0212_p0612c10_##形骸久存世者，一人形體遍滿世界。」答曰：「以
T04n0212_p0612c11_##其眾生與根共生、與根共滅，以是之故骸不
T04n0212_p0612c12_##久存。設當眾生與根共滅與根共生者，骸骨
T04n0212_p0612c13_##便當久存於世。復次與識共生與識共滅，是
T04n0212_p0612c14_##時形骸不久在世，若當眾生與識共滅與識
T04n0212_p0612c15_##共生，爾時形骸久存於世。」問曰：「若當老耄久
T04n0212_p0612c16_##存世者，人初出胎頭髮恒不白乎？」答曰：「所謂
T04n0212_p0612c17_##頭髮[＊][日*告]然白者非衰老義。」「此義云何乎？」答
T04n0212_p0612c18_##曰：「依彼受形分時，便有衰色之變，有白髮生
T04n0212_p0612c19_##猶酒酥麻油必有濁滓，受形分時亦復如是，
T04n0212_p0612c20_##便有衰色白髮生焉。」是故說曰若如初夜。識
T04n0212_p0612c21_##降母胎者，猶如男識女識降在母胎，據在一
T04n0212_p0612c22_##時之內，或生或滅，經百千變起滅不息猶如
T04n0212_p0612c23_##輪轉，不可稱計，唯有天眼乃得見[20]耳。時識
T04n0212_p0612c24_##過去及還來者，亦非神[口*兄]技術能制，去自永
T04n0212_p0612c25_##逝來亦無跡，識處母胎生滅不停亦復如是，
T04n0212_p0612c26_##猶河東流終不西顧，胎識去過終不還反，唯
T04n0212_p0612c27_##有天眼，見胎識還見胎識去。
T04n0212_p0612c28S##　晨所[者*見]見，　　夜則不現，　　昨所瞻者，
T04n0212_p0612c29S##　今夕則無。　　我今少壯，　　無所恃怙，
T04n0212_p0613a01s##　少者亦死，　　男女無數。
T04n0212_p0613a02P##昔佛在舍衛國祇樹給孤獨園。爾時尊者阿
T04n0212_p0613a03_##難，到時著衣持[金*本]入舍衛城分衛，遙見門外
T04n0212_p0613a04_##有眾男子作倡伎樂而自娛樂。尊者阿難入
T04n0212_p0613a05_##城乞食訖欲還出城，見此[01]伎人忽已命終，眾
T04n0212_p0613a06_##人舁舉號哭相向。時尊者阿難便生此念：「奇
T04n0212_p0613a07_##哉變怪無常對至，何[02]其速乎？我向晨朝入城
T04n0212_p0613a08_##乞食，見此男子五[03]樂自娛，像如天子，如今受
T04n0212_p0613a09_##對取無常耶？」時尊者阿難出舍衛城祇洹精
T04n0212_p0613a10_##舍，收攝衣服淨洗手足，至世尊所，頭面禮足
T04n0212_p0613a11_##在一面立。爾時尊者阿難長跪叉手前白佛
T04n0212_p0613a12_##言：「唯然世尊！我向晨朝著衣持[金*本]入城乞食，
T04n0212_p0613a13_##見有男子作倡伎樂五欲自娛，便入城乞，還
T04n0212_p0613a14_##出在外，見此男子忽已命終，眾人舁舉號哭
T04n0212_p0613a15_##相向。時我，世尊！便生此念：『奇哉變怪無常對
T04n0212_p0613a16_##至，何期速乎？我向晨朝入城乞食，見此男子
T04n0212_p0613a17_##五樂自娛，像如天子，如今受對，取無常耶？』我
T04n0212_p0613a18_##今所見甚為奇特，未曾所[者*見]。」世尊告曰：「汝今，
T04n0212_p0613a19_##阿難！有何奇特？我曾所[者*見]乃為奇特，出過汝
T04n0212_p0613a20_##今所見者上。我曾昔日到時著衣持[金*本]，入舍
T04n0212_p0613a21_##衛城分衛乞食。時我，阿難！見有男子在祇洹
T04n0212_p0613a22_##門外作倡伎樂五欲自娛，時我入城乞食訖
T04n0212_p0613a23_##還出城外，見此男子作倡伎樂如本不[04]誤。我
T04n0212_p0613a24_##見奇特出汝者上。」爾時阿難即白佛言：「此是
T04n0212_p0613a25_##常儀，有何奇特？」佛告阿難：「命速於風，逝難制
T04n0212_p0613a26_##御，汝今方言，有何奇耶？」爾時世尊觀察此義
T04n0212_p0613a27_##尋究本末，欲使比丘明鑒此法，為將來眾生
T04n0212_p0613a28_##現大光明，亦使正法久存於世，爾時世尊便
T04n0212_p0613a29_##說出曜之偈：
T04n0212_p0613b01S##「晨所[者*見]見，　　夜則不現，　　昨所瞻者，
T04n0212_p0613b02S##　今夕則無。　　我今少壯，　　無所恃怙，
T04n0212_p0613b03s##　少者亦死，　　男女無數。」
T04n0212_p0613b04P##[05]前所[者*見][06]者夜則不見者，晨朝所見眾生之
T04n0212_p0613b05_##類數千百眾，暮則不見，諸有眾生思惟校計
T04n0212_p0613b06_##善根具足，意不錯亂，則自覺知命如[07]琢石
T04n0212_p0613b07_##閃現已滅，誰當興意貪著此乎？唯有無聞凡
T04n0212_p0613b08_##夫愚人，乃興此心生貪著意。昨所瞻者今夕
T04n0212_p0613b09_##則無，如昨所見進止行來，設彼有念思惟善
T04n0212_p0613b10_##本殖眾功德，心便勇猛能自改悔，內自興發
T04n0212_p0613b11_##不可樂想，是故說曰，晨所[者*見]見夜則不現，昨
T04n0212_p0613b12_##所瞻者今夕則無也。我今少壯無所恃[08]怙，如
T04n0212_p0613b13_##有愚人無所聞知，自怙強壯氣力熾盛，苟得
T04n0212_p0613b14_##自縱隨其所[09]如不顧後慮。自稱端正顏貌殊
T04n0212_p0613b15_##特，餘者卑賤非我等[10]友，色力財富出眾人表，
T04n0212_p0613b16_##既自盛壯獨步無侶，所願者得無能拒逆，所欲
T04n0212_p0613b17_##自恣不避豪強，亦復不思無常對至，不[者*見]生
T04n0212_p0613b18_##死苦惱之患，是故說曰，我今少壯無所恃怙。
T04n0212_p0613b19_##少壯亦死男女無[11]數，正使無數眾生之類，男
T04n0212_p0613b20_##女大小受形分者，氣力殊特財富無數，所欲
T04n0212_p0613b21_##自恣年皆盛壯，於人世間壯者命終多於老
T04n0212_p0613b22_##者皆為無常，所見蹈[12]藉，然彼終者先在世時
T04n0212_p0613b23_##不修功德，諸善之本無所恃怙，從今世至後
T04n0212_p0613b24_##世流馳五趣無有懈息，是故說曰，少者亦死
T04n0212_p0613b25_##男女無數。[13]在胎自敗初出亦殤，既生子壞孩
T04n0212_p0613b26_##抱而喪，[14]諸老少壯[乃>及]中間人，漸漸以次如
T04n0212_p0613b27_##果待熟。
T04n0212_p0613b28P##六十千生六十百生，於生藏壞斯由害人，所
T04n0212_p0613b29_##謂人者國王一億[15]則害導師商人父母，須陀
T04n0212_p0613c01_##洹、斯陀含、阿那含、阿羅漢。興心起意害此輩
T04n0212_p0613c02_##人，或入阿鼻地獄或熱，大熱，啼哭，大啼哭等，
T04n0212_p0613c03_##活黑繩等，會地獄畢此罪已生六畜中，經歷
T04n0212_p0613c04_##劫數往來周旋，乃復人身，於其中間在生藏
T04n0212_p0613c05_##中不卒其命，是故說曰，在胎自敗也。初[16]出胎
T04n0212_p0613c06_##亦[17]壞者，或有眾生始[＊]出胎門而命終者，或
T04n0212_p0613c07_##有眾生，始欲造福功業未果，便於胎門中夭
T04n0212_p0613c08_##命者，斯由前身興心傷害彼造福人，是故說
T04n0212_p0613c09_##曰，初出亦殤。既生子壞者，或有眾生施功立
T04n0212_p0613c10_##德，在諸塔寺施設園[卄/果]浴池橋梁[18][清>圊]廁，功業
T04n0212_p0613c11_##未就為人所害，斯由先世害福德人，死入地
T04n0212_p0613c12_##獄畜生餓鬼，經歷久遠乃還復人，既生離胎
T04n0212_p0613c13_##於中逝殤，是故說曰，既生子壞也。孩抱而喪
T04n0212_p0613c14_##者，或有眾生於塔寺中施功立德，施設園[＊][卄/果]
T04n0212_p0613c15_##浴池橋梁[＊][清>圊]廁，功業已就[19]餘功未幾，便為
